station_key,canonical_station_name,first_financial_year,last_financial_year,year_count,financial_years,eligible_year_count,all_file_names
denman6611kv,Denman 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Denman 66_11kV
hurstvillenorth13211kv,Hurstville North 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Hurstville North 132_11kV
kurri13211kv,Kurri 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Kurri 132_11kV
lemington6611kv,Lemington 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Lemington 66_11kV
medowie3311kv,Medowie 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Medowie 33_11kV
monavale3311kv,Mona Vale 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Mona Vale 33_11kV
moonan3311kv,Moonan 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Moonan 33_11kV
morisset13211kv,Morisset 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Morisset 132_11kV
muswellbrook3311kv,Muswellbrook 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Muswellbrook 33_11kV
paxton3311kv,Paxton 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Paxton 33_11kV
rosebay13211kv,Rose Bay 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Rose Bay 132_11kV
stockton3311kv,Stockton 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Stockton 33_11kV
tomalpin3311kv,Tomalpin 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Tomalpin 33_11kV
wyong13211kv,Wyong 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Wyong 132_11kV
northsydney13211kv,North Sydney 132_11kV,2016,2025,10,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,8,North Sydney 132_11kV
blackwattlebay335kv,Blackwattle Bay 33_5kV,2015,2023,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,8,Blackwattle Bay 33_5kV
crowsnest13211kv,Crows Nest 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Crows Nest 132_11kV
kurnellsouth13211kv,Kurnell South 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Kurnell South 132_11kV
lucasheights3311kv,Lucas Heights 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Lucas Heights 33_11kV
newlambton3311kv,New Lambton 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,New Lambton 33_11kV
newdell6611kv,Newdell 66_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Newdell 66_11kV
northhead3311kv,North Head 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,North Head 33_11kV
valespoint3311kv,Vales Point 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,8,Vales Point 33_11kV
jannali3311kv,Jannali 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Jannali 33_11kV
rouchel3311kv,Rouchel 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Rouchel 33_11kV
somersby13211kv,Somersby 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Somersby 132_11kV
metford3311kv,Metford 33_11kV,2016,2025,10,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Metford 33_11kV
enfield3311kv,Enfield 33_11kV,2015,2023,9,2015;2016;2017;2018;2019;2020;2021;2022;2023,7,Enfield 33_11kV
rockdale13211kv,Rockdale 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Rockdale 132_11kV
tigheshill3311kv,Tighes Hill 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Tighes Hill 33_11kV
torontowest13211kv,Toronto West 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,7,Toronto West 132_11kV
gwawleybay3311kv,Gwawley Bay 33_11kV,2015,2023,8,2015;2016;2017;2018;2019;2020;2021;2023,7,Gwawley Bay 33_11kV
gwawleybay13211kv,Gwawley Bay 132_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,6,Gwawley Bay 132_11kV
mthutton3311kv,Mt Hutton 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,6,Mt Hutton 33_11kV
telarah3311kv,Telarah 33_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,6,Telarah 33_11kV
engadine13211kv,Engadine 132_11kV,2016,2025,10,2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,6,Engadine 132_11kV
mitchellsflat6611kv,Mitchells Flat 66_11kV,2015,2025,11,2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025,5,Mitchells Flat 66_11kV
cessnocksouth3311kv,Cessnock South 33_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,Cessnock South 33_11kV
croydon13211kv,Croydon 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,Croydon 132_11kV
leichhardt13211kv,Leichhardt 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,Leichhardt 132_11kV
olympicpark13211kv,Olympic Park 132_11kV,2017,2025,9,2017;2018;2019;2020;2021;2022;2023;2024;2025,5,Olympic Park 132_11kV
arncliffe3311kv,Arncliffe 33_11kV,2015,2023,8,2015;2016;2017;2018;2019;2020;2021;2023,5,Arncliffe 33_11kV
fivedock3311kv,Five Dock 33_11kV,2015,2023,8,2015;2016;2017;2018;2019;2020;2021;2023,5,Five Dock 33_11kV
engadine3311kv,Engadine 33_11kV,2015,2023,8,2015;2016;2017;2018;2019;2020;2021;2023,4,Engadine 33_11kV
leichhardt3311kv,Leichhardt 33_11kV,2015,2023,8,2015;2016;2017;2018;2019;2020;2021;2023,4,Leichhardt 33_11kV
